"IDX","IDX_DATETIME","ITEMCODE","LOCATION","VALUE_1"
"99","2021-01-06 13:00:00","PM10","1111068000","28"
"100","2021-01-06 13:00:00","PM10","1111069000","28"
"101","2021-01-06 13:00:00","PM10","1111070000","28"
"102","2021-01-06 13:00:00","PM10","1111071000","28"
"103","2021-01-06 13:00:00","PM10","1117000000","28"
"104","2021-01-06 13:00:00","PM10","1117051000","28"
"105","2021-01-06 13:00:00","PM10","1117052000","28"
"106","2021-01-06 13:00:00","PM10","1117053000","28"
"107","2021-01-06 13:00:00","PM10","1117055500","28"
"108","2021-01-06 13:00:00","PM10","1117056000","28"
"109","2021-01-06 13:00:00","PM10","1117057000","28"
"110","2021-01-06 13:00:00","PM10","1117058000","28"
"111","2021-01-06 13:00:00","PM10","1117059000","28"
"112","2021-01-06 13:00:00","PM10","1117062500","28"
"113","2021-01-06 13:00:00","PM10","1117063000","28"
"114","2021-01-06 13:00:00","PM10","1117064000","28"
"115","2021-01-06 13:00:00","PM10","1117065000","28"
"116","2021-01-06 13:00:00","PM10","1117066000","28"
"117","2021-01-06 13:00:00","PM10","1117068500","28"
"118","2021-01-06 13:00:00","PM10","1117069000","28"
"119","2021-01-06 13:00:00","PM10","1117070000","28"
"120","2021-01-06 13:00:00","PM10","1121500000","26"
"121","2021-01-06 13:00:00","PM10","1121571000","26"
"122","2021-01-06 13:00:00","PM10","1121573000","26"
"123","2021-01-06 13:00:00","PM10","1121574000","26"
"124","2021-01-06 13:00:00","PM10","1121575000","26"
"125","2021-01-06 13:00:00","PM10","1121576000","26"
"126","2021-01-06 13:00:00","PM10","1121577000","26"
"127","2021-01-06 13:00:00","PM10","1121578000","26"
"128","2021-01-06 13:00:00","PM10","1121581000","26"
"129","2021-01-06 13:00:00","PM10","1121582000","26"
"130","2021-01-06 13:00:00","PM10","1121583000","26"
"131","2021-01-06 13:00:00","PM10","1121584000","26"
"132","2021-01-06 13:00:00","PM10","1121584700","26"
"133","2021-01-06 13:00:00","PM10","1121585000","26"
"134","2021-01-06 13:00:00","PM10","1121586000","26"
"135","2021-01-06 13:00:00","PM10","1121587000","26"
"136","2021-01-06 13:00:00","PM10","1120000000","23"
"137","2021-01-06 13:00:00","PM10","1120052000","23"
"138","2021-01-06 13:00:00","PM10","1120053500","23"
"139","2021-01-06 13:00:00","PM10","1120054000","23"
"140","2021-01-06 13:00:00","PM10","1120055000","23"
"141","2021-01-06 13:00:00","PM10","1120056000","23"
"142","2021-01-06 13:00:00","PM10","1120057000","23"
"143","2021-01-06 13:00:00","PM10","1120058000","23"
"144","2021-01-06 13:00:00","PM10","1120059000","23"
"145","2021-01-06 13:00:00","PM10","1120061500","23"
"146","2021-01-06 13:00:00","PM10","1120062000","23"
"147","2021-01-06 13:00:00","PM10","1120064500","23"
"148","2021-01-06 13:00:00","PM10","1120065000","23"
"149","2021-01-06 13:00:00","PM10","1120066000","23"
"150","2021-01-06 13:00:00","PM10","1120067000","23"
"151","2021-01-06 13:00:00","PM10","1120069000","23"
"152","2021-01-06 13:00:00","PM10","1120072000","23"
"153","2021-01-06 13:00:00","PM10","1120079000","23"
