"IDX","IDX_DATETIME","DATA_GUBUN","LOCATION","GATHER_INFO","VALUE_1","VALUE_2","VALUE_3"
"90","2021-01-06 13:00:00","T,H","1117064000",,"31","-5","0"
"91","2021-01-06 13:00:00","T,H","1141055500",,"31","-5","0"
"92","2021-01-06 13:00:00","T,H","1141058500",,"31","-5","0"
"93","2021-01-06 13:00:00","T,H","1144055500",,"31","-5","0"
"94","2021-01-06 13:00:00","T,H","1144058500",,"31","-5","0"
"95","2021-01-06 13:00:00","T,H","1144059000",,"31","-5","0"
"96","2021-01-06 13:00:00","T,H","1144060000",,"31","-5","0"
"97","2021-01-06 13:00:00","T,H","1144061000",,"31","-5","0"
"98","2021-01-06 13:00:00","T,H","1144063000",,"31","-5","0"
"99","2021-01-06 13:00:00","T,H","1144065500",,"31","-5","0"
"100","2021-01-06 13:00:00","T,H","1144066000",,"31","-5","0"
"101","2021-01-06 13:00:00","T,H","1144068000",,"31","-5","0"
"102","2021-01-06 13:00:00","T,H","1144069000",,"31","-5","0"
"103","2021-01-06 13:00:00","T,H","1144070000",,"31","-5","0"
"104","2021-01-06 13:00:00","T,H","1156051500",,"31","-5","0"
"105","2021-01-06 13:00:00","T,H","1156053500",,"31","-5","0"
"106","2021-01-06 13:00:00","T,H","1156054000",,"31","-5","0"
"107","2021-01-06 13:00:00","T,H","1156056000",,"31","-5","0"
"108","2021-01-06 13:00:00","T,H","1156060500",,"31","-5","0"
"109","2021-01-06 13:00:00","T,H","1120056000",,"33","-4","0"
"110","2021-01-06 13:00:00","T,H","1120057000",,"33","-4","0"
"111","2021-01-06 13:00:00","T,H","1120058000",,"33","-4","0"
"112","2021-01-06 13:00:00","T,H","1120059000",,"33","-4","0"
"113","2021-01-06 13:00:00","T,H","1120061500",,"33","-4","0"
"114","2021-01-06 13:00:00","T,H","1120062000",,"33","-4","0"
"115","2021-01-06 13:00:00","T,H","1120065000",,"33","-4","0"
"116","2021-01-06 13:00:00","T,H","1120066000",,"33","-4","0"
"117","2021-01-06 13:00:00","T,H","1120067000",,"33","-4","0"
"118","2021-01-06 13:00:00","T,H","1120069000",,"33","-4","0"
"119","2021-01-06 13:00:00","T,H","1120072000",,"33","-4","0"
"120","2021-01-06 13:00:00","T,H","1121571000",,"33","-4","0"
"121","2021-01-06 13:00:00","T,H","1121584000",,"33","-4","0"
"122","2021-01-06 13:00:00","T,H","1121584700",,"33","-4","0"
"123","2021-01-06 13:00:00","T,H","1168000000",,"33","-4","0"
"124","2021-01-06 13:00:00","T,H","1168051000",,"33","-4","0"
"125","2021-01-06 13:00:00","T,H","1168053100",,"33","-4","0"
"126","2021-01-06 13:00:00","T,H","1168054500",,"33","-4","0"
"127","2021-01-06 13:00:00","T,H","1168056500",,"33","-4","0"
"128","2021-01-06 13:00:00","T,H","1121500000",,"23","-3","0"
"129","2021-01-06 13:00:00","T,H","1121573000",,"23","-3","0"
"130","2021-01-06 13:00:00","T,H","1121578000",,"23","-3","0"
"131","2021-01-06 13:00:00","T,H","1121581000",,"23","-3","0"
"132","2021-01-06 13:00:00","T,H","1121582000",,"23","-3","0"
"133","2021-01-06 13:00:00","T,H","1121583000",,"23","-3","0"
"134","2021-01-06 13:00:00","T,H","1121585000",,"23","-3","0"
"135","2021-01-06 13:00:00","T,H","1121586000",,"23","-3","0"
"136","2021-01-06 13:00:00","T,H","1121587000",,"23","-3","0"
"137","2021-01-06 13:00:00","T,H","1171000000",,"23","-3","0"
"138","2021-01-06 13:00:00","T,H","1171051000",,"23","-3","0"
"139","2021-01-06 13:00:00","T,H","1171052000",,"23","-3","0"
"140","2021-01-06 13:00:00","T,H","1171056200",,"23","-3","0"
"141","2021-01-06 13:00:00","T,H","1171067000",,"23","-3","0"
"142","2021-01-06 13:00:00","T,H","1171069000",,"23","-3","0"
"143","2021-01-06 13:00:00","T,H","1171071000",,"23","-3","0"
"144","2021-01-06 13:00:00","T,H","1174000000",,"23","-3","0"
"145","2021-01-06 13:00:00","T,H","1174058000",,"23","-3","0"
"146","2021-01-06 13:00:00","T,H","1174061000",,"23","-3","0"
"147","2021-01-06 13:00:00","T,H","1174062000",,"23","-3","0"
"148","2021-01-06 13:00:00","T,H","1174064000",,"23","-3","0"
"149","2021-01-06 13:00:00","T,H","1174065000",,"23","-3","0"
"150","2021-01-06 13:00:00","T,H","1121574000",,"31","-4","0"
"151","2021-01-06 13:00:00","T,H","1121575000",,"31","-4","0"
"152","2021-01-06 13:00:00","T,H","1121576000",,"31","-4","0"
"153","2021-01-06 13:00:00","T,H","1121577000",,"31","-4","0"
"154","2021-01-06 13:00:00","T,H","1126052000",,"31","-4","0"
"155","2021-01-06 13:00:00","T,H","1126054000",,"31","-4","0"
"156","2021-01-06 13:00:00","T,H","1126055000",,"31","-4","0"
"157","2021-01-06 13:00:00","T,H","1126056500",,"31","-4","0"
"158","2021-01-06 13:00:00","T,H","1126057000",,"31","-4","0"
"159","2021-01-06 13:00:00","T,H","1126057500",,"31","-4","0"
"160","2021-01-06 13:00:00","T,H","1126058000",,"31","-4","0"
"161","2021-01-06 13:00:00","T,H","1126059000",,"31","-4","0"
"162","2021-01-06 13:00:00","T,H","1126060000",,"31","-4","0"
"163","2021-01-06 13:00:00","T,H","1126061000",,"31","-4","0"
"164","2021-01-06 13:00:00","T,H","1126065500",,"31","-4","0"
"165","2021-01-06 13:00:00","T,H","1126066000",,"31","-4","0"
"166","2021-01-06 13:00:00","T,H","4131000000",,"31","-4","0"
"167","2021-01-06 13:00:00","T,H","4131054100",,"31","-4","0"
"168","2021-01-06 13:00:00","T,H","1126000000",,"26","-4","0"
"169","2021-01-06 13:00:00","T,H","1126062000",,"26","-4","0"
"170","2021-01-06 13:00:00","T,H","1126063000",,"26","-4","0"
"171","2021-01-06 13:00:00","T,H","1126068000",,"26","-4","0"
"172","2021-01-06 13:00:00","T,H","1126069000",,"26","-4","0"
"173","2021-01-06 13:00:00","T,H","1135060000",,"26","-4","0"
"174","2021-01-06 13:00:00","T,H","1135061900",,"26","-4","0"
"175","2021-01-06 13:00:00","T,H","4131051000",,"26","-4","0"
"176","2021-01-06 13:00:00","T,H","4136057000",,"26","-4","0"
"177","2021-01-06 13:00:00","T,H","1129064000",,"26","-4","0"
"178","2021-01-06 13:00:00","T,H","1129065000",,"26","-4","0"
"179","2021-01-06 13:00:00","T,H","1130561500",,"26","-4","0"
"180","2021-01-06 13:00:00","T,H","1130564500",,"26","-4","0"
"181","2021-01-06 13:00:00","T,H","1130566000",,"26","-4","0"
"182","2021-01-06 13:00:00","T,H","1129068500",,"22","-3","0"
"183","2021-01-06 13:00:00","T,H","1129071500",,"22","-3","0"
